,cause,avoidable,men,women,people,Males,Females,Persons,Males.1,Females.1,Persons.1,header
46,Bacterial infection of unspecified site (A49),,55,51,106,0.4,0.3,0.3,362.0,154.0,513.0,False
48,Congenital syphilis (A50),,0,0,0,,,,,,,False
49,Early syphilis (A51),,0,0,0,,,,,,,False
50,Late syphilis (A52),,3,0,3,,,,,,,False
51,Other and unspecified syphilis (A53),,1,0,1,,,,,,,False
52,Gonococcal infection (A54),,0,0,0,,,,,,,False
53,Chlamydial lymphogranuloma (venereum) (A55),,0,0,0,,,,,,,False
54,Other sexually transmitted chlamydial diseases (A56),,0,0,0,,,,,,,False
55,Chancroid (A57),,0,0,0,,,,,,,False
56,Granuloma inguinale (A58),,0,0,0,,,,,,,False
57,Trichomoniasis (A59),,0,0,0,,,,,,,False
58,Anogenital herpesviral [herpes simplex] infection (A60),,0,0,0,,,,,,,False
59,"Other predominantly sexually transmitted diseases, not elsewhere classified (A63)",,0,0,0,,,,,,,False
60,Unspecified sexually transmitted disease (A64),,0,0,0,,,,,,,False
62,Nonvenereal syphilis (A65),,0,0,0,,,,,,,False
63,Yaws (A66),,0,0,0,,,,,,,False
64,Pinta [carate] (A67),,0,0,0,,,,,,,False
65,Relapsing fevers (A68),,0,0,0,,,,,,,False
66,Other spirochaetal infections (A69),,0,1,1,,,,,,,False
68,Chlamydia psittaci infection (A70),,0,0,0,,,,,,,False
69,Trachoma (A71),,0,0,0,,,,,,,False
70,Other diseases caused by chlamydiae (A74),,0,0,0,,,,,,,False
72,Typhus fever (A75),,0,0,0,,,,,,,False
73,Spotted fever [tick-borne rickettsioses] (A77),,0,0,0,,,,,,,False
74,Q fever (A78),,0,0,0,,,,,,,False
75,Other rickettsioses (A79),,0,0,0,,,,,,,False
77,Acute poliomyelitis (A80),,0,0,0,,,,,,,False
78,Slow virus infections of central nervous system (A81),,35,20,55,0.2,0.1,0.2,368.0,278.0,642.0,False
79,Rabies (A82),,0,0,0,,,,,,,False
80,Mosquito-borne viral encephalitis (A83),,2,0,2,,,,,,,False
81,Tick-borne viral encephalitis (A84),,0,0,0,,,,,,,False
82,"Other viral encephalitis, not elsewhere classified (A85)",,0,0,0,,,,,,,False
83,Unspecified viral encephalitis (A86),,3,3,6,,,,,,,False
84,Viral meningitis (A87),,0,0,0,,,,,,,False
85,"Other viral infections of central nervous system, not elsewhere classified (A88)",,0,0,0,,,,,,,False
86,Unspecified viral infection of central nervous system (A89),,0,0,0,,,,,,,False
88,Dengue fever [classical dengue] (A90),,0,0,0,,,,,,,False
89,Dengue haemorrhagic fever (A91),,0,0,0,,,,,,,False
90,Other mosquito-borne viral fevers (A92),,0,1,1,,,,,,,False
91,"Other arthropod-borne viral fevers, not elsewhere classified (A93)",,0,0,0,,,,,,,False
92,Unspecified arthropod-borne viral fever (A94),,0,0,0,,,,,,,False
93,Yellow fever (A95),,0,0,0,,,,,,,False
94,Arenaviral haemorrhagic fever (A96),,0,0,0,,,,,,,False
95,Dengue (A97),,0,0,0,,,,,,,False
96,"Other viral haemorrhagic fevers, not elsewhere classified (A98)",,0,0,0,,,,,,,False
97,Unspecified viral haemorrhagic fever (A99),,0,0,0,,,,,,,False
99,Herpesviral [herpes simplex] infections (B00),,8,16,24,,,0.1,,255.0,271.0,False
100,Varicella [chickenpox] (B01),,1,2,3,,,,,,,False
101,Zoster [herpes zoster] (B02),,10,19,29,,,0.1,,,,False
102,Smallpox (B03),,0,0,0,,,,,,,False
103,Monkeypox (B04),,0,0,0,,,,,,,False
104,Measles (B05),,0,0,0,,,,,,,False
105,Rubella [German measles] (B06),,0,0,0,,,,,,,False
106,Viral warts (B07),,0,0,0,,,,,,,False
107,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified (B08)",,0,0,0,,,,,,,False
108,Unspecified viral infection characterized by skin and mucous membrane lesions (B09),,0,0,0,,,,,,,False
110,Acute hepatitis A (B15),,0,0,0,,,,,,,False
111,Acute hepatitis B (B16),,4,4,8,,,,,,103.0,False
112,Other acute viral hepatitis (B17),,6,3,9,,,,,,,False
113,Chronic viral hepatitis (B18),,103,28,131,0.8,0.2,0.5,1872.0,493.0,2340.0,False
114,Unspecified viral hepatitis (B19),,1,0,1,,,,,,,False
116,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases (B20),x,14,0,14,,,,304.0,,301.0,False
117,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms (B21),x,2,1,3,,,,,,,False
118,Human immunodeficiency virus [HIV] disease resulting in other specified diseases (B22),x,3,0,3,,,,,,,False
119,Human immunodeficiency virus [HIV] disease resulting in other conditions (B23),x,3,0,3,,,,,,,False
120,Unspecified human immunodeficiency virus [HIV] disease (B24),x,5,1,6,,,,,,,False
122,Cytomegaloviral disease (B25),,4,1,5,,,,,,35.0,False
123,Mumps (B26),,0,0,0,,,,,,,False
124,Infectious mononucleosis (B27),,0,0,0,,,,,,,False
125,Viral conjunctivitis (B30),,0,0,0,,,,,,,False
126,"Other viral diseases, not elsewhere classified (B33)",,2,1,3,,,,,,,False
127,Viral infection of unspecified site (B34),,18,19,37,,,0.1,262.0,71.0,338.0,False
129,Dermatophytosis (B35),,0,0,0,,,,,,,False
130,Other superficial mycoses (B36),,0,0,0,,,,,,,False
131,Candidiasis (B37),,8,7,15,,,,,59.0,85.0,False
132,Coccidioidomycosis (B38),,0,0,0,,,,,,,False
133,Histoplasmosis (B39),,0,0,0,,,,,,,False
134,Blastomycosis (B40),,0,0,0,,,,,,,False
135,Paracoccidioidomycosis (B41),,0,0,0,,,,,,,False
136,Sporotrichosis (B42),,0,0,0,,,,,,,False
137,Chromomycosis and phaeomycotic abscess (B43),,0,0,0,,,,,,,False
138,Aspergillosis (B44),,11,4,15,,,,40.0,,57.0,False
139,Cryptococcosis (B45),,7,3,10,,,,47.0,,68.0,False
140,Zygomycosis (B46),,1,1,2,,,,,,,False
141,Mycetoma (B47),,1,0,1,,,,,,,False
142,"Other mycoses, not elsewhere classified (B48)",,2,0,2,,,,,,,False
143,Unspecified mycosis (B49),,8,5,13,,,,156.0,,192.0,False
145,Plasmodium falciparum malaria (B50),,0,0,0,,,,,,,False
146,Plasmodium vivax malaria (B51),,0,0,0,,,,,,,False
147,Plasmodium malariae malaria (B52),,0,0,0,,,,,,,False
148,Other parasitologically confirmed malaria (B53),,0,0,0,,,,,,,False
149,Unspecified malaria (B54),,0,0,0,,,,,,,False
150,Leishmaniasis (B55),,0,0,0,,,,,,,False
151,African trypanosomiasis (B56),,0,0,0,,,,,,,False
152,Chagas' disease (B57),,0,0,0,,,,,,,False
153,Toxoplasmosis (B58),,1,0,1,,,,,,,False
154,Pneumocystosis (B59),,7,3,10,,,,99.0,,116.0,False
155,"Other protozoal diseases, not elsewhere classified (B60)",,0,0,0,,,,,,,False
156,Unspecified protozoal disease (B64),,0,0,0,,,,,,,False
158,Schistosomiasis [bilharziasis] (B65),,0,0,0,,,,,,,False
159,Other fluke infections (B66),,0,0,0,,,,,,,False
160,Echinococcosis (B67),,1,0,1,,,,,,,False
161,Taeniasis (B68),,0,0,0,,,,,,,False
162,Cysticercosis (B69),,0,0,0,,,,,,,False
163,Diphyllobothriasis and sparganosis (B70),,0,0,0,,,,,,,False
164,Other cestode infections (B71),,0,0,0,,,,,,,False
165,Dracunculiasis (B72),,0,0,0,,,,,,,False
166,Onchocerciasis (B73),,0,0,0,,,,,,,False
167,Filariasis (B74),,0,0,0,,,,,,,False
168,Trichinellosis (B75),,0,0,0,,,,,,,False
169,Hookworm diseases (B76),,0,0,0,,,,,,,False
170,Ascariasis (B77),,0,0,0,,,,,,,False
171,Strongyloidiasis (B78),,0,0,0,,,,,,,False
172,Trichuriasis (B79),,0,0,0,,,,,,,False
173,Enterobiasis (B80),,0,0,0,,,,,,,False
174,"Other intestinal helminthiases, not elsewhere classified (B81)",,0,0,0,,,,,,,False
175,Unspecified intestinal parasitism (B82),,0,0,0,,,,,,,False
176,Other helminthiases (B83),,1,0,1,,,,,,,False
178,Pediculosis and phthiriasis (B85),,0,0,0,,,,,,,False
179,Scabies (B86),,0,2,2,,,,,,,False
180,Myiasis (B87),,0,0,0,,,,,,,False
181,Other infestations (B88),,0,0,0,,,,,,,False
182,Unspecified parasitic disease (B89),,0,0,0,,,,,,,False
184,Sequelae of tuberculosis (B90),,2,2,4,,,,,,,False
185,Sequelae of poliomyelitis (B91),,8,11,19,,,,,,15.0,False
186,Sequelae of leprosy (B92),,0,0,0,,,,,,,False
187,Sequelae of other and unspecified infectious and parasitic diseases (B94),,2,5,7,,,,,,,False
189,Streptococcus and staphylococcus as the cause of diseases classified to other chapters (B95),,0,0,0,,,,,,,False
190,Other bacterial agents as the cause of diseases classified to other chapters (B96),,0,0,0,,,,,,,False
191,Viral agents as the cause of diseases classified to other chapters (B97),,0,0,0,,,,,,,False
192,Other specified infectious agents as the cause of diseases classified to other chapters (B98),,0,0,0,,,,,,,False
193,Other infectious diseases  (B99),,18,26,44,,0.1,0.1,35.0,75.0,110.0,False
194,Other and unspecified infectious diseases (B99),,18,26,44,,0.1,0.1,35.0,75.0,110.0,False
198,Malignant neoplasm of lip (C00),,2,4,6,,,,,,,False
199,Malignant neoplasm of base of tongue (C01),,35,12,47,0.2,,0.2,328.0,130.0,454.0,False
200,Malignant neoplasm of other and unspecified parts of tongue (C02),,107,66,173,0.8,0.4,0.6,963.0,412.0,1364.0,False
201,Malignant neoplasm of gum (C03),,11,9,20,,,0.1,86.0,50.0,136.0,False
202,Malignant neoplasm of floor of mouth (C04),,8,5,13,,,,74.0,,127.0,False
203,Malignant neoplasm of palate (C05),,10,10,20,,,0.1,161.0,86.0,246.0,False
204,Malignant neoplasm of other and unspecified parts of mouth (C06),,42,38,80,0.3,0.2,0.3,401.0,284.0,682.0,False
205,Malignant neoplasm of parotid gland (C07),,65,23,88,0.5,0.1,0.3,263.0,89.0,348.0,False
206,Malignant neoplasm of other and unspecified major salivary glands (C08),,19,6,25,,,0.1,197.0,,259.0,False
207,Malignant neoplasm of tonsil (C09),,77,18,95,0.6,,0.3,985.0,213.0,1184.0,False
208,Malignant neoplasm of oropharynx (C10),,90,23,113,0.6,0.1,0.4,1006.0,155.0,1144.0,False
209,Malignant neoplasm of nasopharynx (C11),,58,16,74,0.4,,0.3,793.0,173.0,953.0,False
210,Malignant neoplasm of pyriform sinus (C12),,10,1,11,,,,18.0,,18.0,False
211,Malignant neoplasm of hypopharynx (C13),,35,11,46,0.2,,0.2,266.0,101.0,362.0,False
212,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx (C14)",,65,9,74,0.5,,0.2,393.0,20.0,405.0,False
214,Malignant neoplasm of oesophagus (C15),,987,342,1329,7.0,2.0,4.4,7855.0,1434.0,9165.0,False
215,Malignant neoplasm of stomach (C16),,712,426,1138,5.1,2.6,3.8,5381.0,3036.0,8371.0,False
216,Malignant neoplasm of small intestine (C17),,78,54,132,0.6,0.3,0.4,624.0,320.0,939.0,False
217,Malignant neoplasm of colon (C18),x,792,720,1512,5.7,4.3,4.9,4897.0,4182.0,9057.0,False
218,Malignant neoplasm of rectosigmoid junction (C19),x,1125,940,2065,8.1,5.9,6.9,9780.0,7411.0,17144.0,False
219,Malignant neoplasm of rectum (C20),x,441,272,713,3.2,1.6,2.4,3224.0,1977.0,5181.0,False
220,Malignant neoplasm of anus and anal canal (C21),x,35,49,84,0.2,0.3,0.3,242.0,388.0,633.0,False
221,Malignant neoplasm of liver and intrahepatic bile ducts (C22),,1414,690,2104,10.0,4.3,7.0,12106.0,4828.0,16785.0,False
222,Malignant neoplasm of gallbladder (C23),,67,116,183,0.5,0.7,0.6,493.0,671.0,1167.0,False
223,Malignant neoplasm of other and unspecified parts of biliary tract (C24),,59,48,107,0.4,0.3,0.3,344.0,178.0,518.0,False
224,Malignant neoplasm of pancreas (C25),,1596,1481,3077,11.4,9.0,10.1,10900.0,8353.0,19204.0,False
225,Malignant neoplasm of other and ill-defined digestive organs (C26),,590,610,1200,4.3,3.4,3.8,3116.0,2420.0,5520.0,False
227,Malignant neoplasm of nasal cavity and middle ear (C30),,2,4,6,,,,,,31.0,False
228,Malignant neoplasm of accessory sinuses (C31),,24,12,36,0.2,,0.1,249.0,141.0,390.0,False
229,Malignant neoplasm of larynx (C32),,163,25,188,1.2,0.1,0.6,1124.0,63.0,1164.0,False
230,Malignant neoplasm of trachea (C33),,3,2,5,,,,,,,False
231,Malignant neoplasm of bronchus and lung (C34),,4997,3584,8581,35.5,22.3,28.4,33412.0,23881.0,57089.0,False
232,Malignant neoplasm of thymus (C37),,14,12,26,,,0.1,159.0,228.0,387.0,False
233,"Malignant neoplasm of heart, mediastinum and pleura (C38)",,23,9,32,0.2,,0.1,185.0,,349.0,False
234,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs (C39),,0,0,0,,,,,,,False
236,Malignant neoplasm of bone and articular cartilage of limbs (C40),,7,1,8,,,,,,303.0,False
237,Malignant neoplasm of bone and articular cartilage of other and unspecified sites (C41),,50,31,81,0.4,0.2,0.3,1166.0,959.0,2122.0,False
239,Malignant melanoma of skin (C43),x,965,464,1429,7.0,2.9,4.8,7425.0,3887.0,11238.0,False
240,Other malignant neoplasms of skin (C44),x,451,214,665,3.2,1.2,2.1,2029.0,678.0,2679.0,False
242,Mesothelioma (C45),,598,128,726,4.3,0.8,2.4,2284.0,619.0,2867.0,False
243,Kaposi sarcoma (C46),,2,0,2,,,,,,,False
244,Malignant neoplasm of peripheral nerves and autonomic nervous system (C47),,5,6,11,,,,,194.0,307.0,False
245,Malignant neoplasm of retroperitoneum and peritoneum (C48),,11,81,92,,0.5,0.3,208.0,452.0,666.0,False
246,Malignant neoplasm of other connective and soft tissue (C49),,190,165,355,1.4,1.1,1.2,2387.0,2584.0,4962.0,False
248,Malignant neoplasm of breast (C50),x,35,2999,3034,0.3,19.1,10.2,256.0,30492.0,31240.0,False
250,Malignant neoplasm of vulva (C51),,0,98,98,,0.6,0.3,,444.0,452.0,False
251,Malignant neoplasm of vagina (C52),,0,31,31,,0.2,0.1,,225.0,229.0,False
252,Malignant neoplasm of cervix uteri (C53),x,0,232,232,,1.6,0.8,,4340.0,4393.0,False
253,Malignant neoplasm of corpus uteri (C54),,0,351,351,,2.2,1.1,,2184.0,2225.0,False
254,"Malignant neoplasm of uterus, part unspecified (C55)",,0,173,173,,1.1,0.6,,1350.0,1376.0,False
255,Malignant neoplasm of ovary (C56),,0,968,968,,6.1,3.2,,7635.0,7772.0,False
256,Malignant neoplasm of other and unspecified female genital organs (C57),,0,49,49,,0.3,0.2,,277.0,281.0,False
257,Malignant neoplasm of placenta (C58),,0,0,0,,,,,,,False
259,Malignant neoplasm of penis (C60),,32,0,32,0.2,,0.1,288.0,,284.0,False
260,Malignant neoplasm of prostate (C61),x,3264,0,3264,23.6,,10.3,7686.0,,7518.0,False
261,Malignant neoplasm of testis (C62),,34,0,34,0.3,,0.1,1037.0,,1037.0,False
262,Malignant neoplasm of other and unspecified male genital organs (C63),,5,0,5,,,,,,,False
264,"Malignant neoplasm of kidney, except renal pelvis (C64)",x,579,296,875,4.2,1.8,2.9,4268.0,1457.0,5675.0,False
265,Malignant neoplasm of renal pelvis (C65),,5,1,6,,,,,,,False
266,Malignant neoplasm of ureter (C66),,13,7,20,,,0.1,,,61.0,False
267,Malignant neoplasm of bladder (C67),,695,320,1015,5.0,1.8,3.2,2252.0,765.0,2988.0,False
268,Malignant neoplasm of other and unspecified urinary organs (C68),,307,126,433,2.2,0.7,1.4,1798.0,487.0,2259.0,False
270,Malignant neoplasm of eye and adnexa (C69),,21,16,37,0.1,,0.1,196.0,115.0,310.0,False
271,Malignant neoplasm of meninges (C70),,4,8,12,,,,,151.0,189.0,False
272,Malignant neoplasm of brain (C71),,845,565,1410,6.2,3.8,5.0,13403.0,8993.0,22325.0,False
273,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system (C72)",,7,3,10,,,,224.0,,276.0,False
275,Malignant neoplasm of thyroid gland (C73),x,67,82,149,0.5,0.5,0.5,553.0,403.0,953.0,False
276,Malignant neoplasm of adrenal gland (C74),,27,22,49,0.2,0.2,0.2,857.0,723.0,1574.0,False
277,Malignant neoplasm of other endocrine glands and related structures (C75),,6,4,10,,,,,,67.0,False
279,Malignant neoplasm of other and ill-defined sites (C76),,64,100,164,0.5,0.5,0.5,493.0,242.0,734.0,False
280,Secondary and unspecified malignant neoplasm of lymph nodes (C77),,0,0,0,,,,,,,False
281,Secondary malignant neoplasm of respiratory and digestive organs (C78),,0,0,0,,,,,,,False
282,Secondary malignant neoplasm of other and unspecified sites (C79),,0,0,0,,,,,,,False
283,"Malignant neoplasm, without specification of site (C80)",,1513,1221,2734,10.9,7.1,8.8,8673.0,6180.0,14800.0,False
285,Hodgkin lymphoma (C81),x,39,29,68,0.3,0.2,0.2,402.0,137.0,538.0,False
286,Follicular lymphoma (C82),,37,32,69,0.3,0.2,0.2,270.0,149.0,418.0,False
287,Non-follicular lymphoma (C83),,332,188,520,2.4,1.1,1.7,2002.0,1084.0,3072.0,False
288,Mature T/NK-cell lymphomas (C84),,93,60,153,0.7,0.4,0.5,801.0,467.0,1262.0,False
289,Other and unspecified types of non-Hodgkin lymphoma (C85),,441,389,830,3.2,2.2,2.6,1943.0,1206.0,3133.0,False
290,Other specified types of T/NK-cell lymphoma (C86),,7,6,13,,,,,71.0,111.0,False
291,Malignant immunoproliferative diseases (C88),,24,20,44,0.2,0.1,0.1,115.0,18.0,131.0,False
292,Multiple myeloma and malignant plasma cell neoplasms (C90),,558,447,1005,4.0,2.7,3.3,2760.0,1957.0,4701.0,False
293,Lymphoid leukaemia (C91),x,264,168,432,1.9,1.0,1.4,2036.0,1311.0,3338.0,False
294,Myeloid leukaemia (C92),,719,458,1177,5.2,2.8,3.9,4762.0,3394.0,8131.0,False
295,Monocytic leukaemia (C93),,87,51,138,0.6,0.3,0.4,293.0,86.0,376.0,False
296,Other leukaemias of specified cell type (C94),,2,1,3,,,,,,,False
297,Leukaemia of unspecified cell type (C95),,86,51,137,0.6,0.3,0.4,488.0,265.0,750.0,False
298,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue (C96)",,16,7,23,,,0.1,110.0,,189.0,False
300,Malignant neoplasms of independent (primary) multiple sites (C97),,0,0,0,,,,,,,False
303,"Carcinoma in situ of oral cavity, oesophagus and stomach (D00)",,0,0,0,,,,,,,False
304,Carcinoma in situ of other and unspecified digestive organs (D01),,0,0,0,,,,,,,False
305,Carcinoma in situ of middle ear and respiratory system (D02),,0,0,0,,,,,,,False
306,Melanoma in situ (D03),,0,0,0,,,,,,,False
307,Carcinoma in situ of skin (D04),,0,0,0,,,,,,,False
308,Carcinoma in situ of breast (D05),,0,0,0,,,,,,,False
309,Carcinoma in situ of cervix uteri (D06),,0,0,0,,,,,,,False
310,Carcinoma in situ of other and unspecified genital organs (D07),,0,0,0,,,,,,,False
311,Carcinoma in situ of other and unspecified sites (D09),,0,0,0,,,,,,,False
313,Benign neoplasm of mouth and pharynx (D10),,1,0,1,,,,,,,False
314,Benign neoplasm of major salivary glands (D11),,0,0,0,,,,,,,False
315,"Benign neoplasm of colon, rectum, anus and anal canal (D12)",,2,1,3,,,,,,,False
316,Benign neoplasm of other and ill-defined parts of digestive system (D13),,2,2,4,,,,,,,False
317,Benign neoplasm of middle ear and respiratory system (D14),,0,0,0,,,,,,,False
318,Benign neoplasm of other and unspecified intrathoracic organs (D15),,4,4,8,,,,,,126.0,False
319,Benign neoplasm of bone and articular cartilage (D16),,0,1,1,,,,,,,False
320,Benign lipomatous neoplasm (D17),,0,1,1,,,,,,,False
321,"Haemangioma and lymphangioma, any site (D18)",,4,6,10,,,,,,108.0,False
322,Benign neoplasm of mesothelial tissue (D19),,0,0,0,,,,,,,False
323,Benign neoplasm of soft tissue of retroperitoneum and peritoneum (D20),,0,0,0,,,,,,,False
324,Other benign neoplasms of connective and other soft tissue (D21),,0,0,0,,,,,,,False
325,Melanocytic naevi (D22),,0,0,0,,,,,,,False
326,Other benign neoplasms of skin (D23),,0,1,1,,,,,,,False
327,Benign neoplasm of breast (D24),,0,0,0,,,,,,,False
328,Leiomyoma of uterus (D25),,0,1,1,,,,,,,False
329,Other benign neoplasms of uterus (D26),,0,0,0,,,,,,,False
330,Benign neoplasm of ovary (D27),,0,0,0,,,,,,,False
331,Benign neoplasm of other and unspecified female genital organs (D28),,0,0,0,,,,,,,False
332,Benign neoplasm of male genital organs (D29),,0,0,0,,,,,,,False
333,Benign neoplasm of urinary organs (D30),,1,0,1,,,,,,,False
334,Benign neoplasm of eye and adnexa (D31),,0,0,0,,,,,,,False
335,Benign neoplasm of meninges (D32),,25,64,89,0.2,0.4,0.3,140.0,187.0,329.0,False
336,Benign neoplasm of brain and other parts of central nervous system (D33),,3,2,5,,,,,,,False
337,Benign neoplasm of thyroid gland (D34),,0,0,0,,,,,,,False
338,Benign neoplasm of other and unspecified endocrine glands (D35),,9,4,13,,,,43.0,,68.0,False
339,Benign neoplasm of other and unspecified sites (D36),,0,1,1,,,,,,,False
341,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs (D37),,40,37,77,0.3,0.2,0.2,193.0,131.0,322.0,False
342,Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs (D38),,11,7,18,,,,,,71.0,False
343,Neoplasm of uncertain or unknown behaviour of female genital organs (D39),,0,8,8,,,,,,,False
344,Neoplasm of uncertain or unknown behaviour of male genital organs (D40),,0,0,0,,,,,,,False
345,Neoplasm of uncertain or unknown behaviour of urinary organs (D41),,10,7,17,,,,,,,False
346,Neoplasm of uncertain or unknown behaviour of meninges (D42),,1,4,5,,,,,,,False
347,Neoplasm of uncertain or unknown behaviour of brain and central nervous system (D43),,67,62,129,0.5,0.4,0.4,385.0,301.0,684.0,False
348,Neoplasm of uncertain or unknown behaviour of endocrine glands (D44),,12,7,19,,,,280.0,28.0,306.0,False
349,Polycythaemia vera (D45),,9,22,31,,0.1,0.1,,21.0,27.0,False
350,Myelodysplastic syndromes (D46),,314,182,496,2.3,1.0,1.5,792.0,296.0,1082.0,False
351,"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue (D47)",,130,110,240,0.9,0.6,0.8,471.0,314.0,782.0,False
352,Neoplasm of uncertain or unknown behaviour of other and unspecified sites (D48),,16,28,44,,0.2,0.1,188.0,255.0,440.0,False
355,Iron deficiency anaemia (D50),,10,16,26,,,0.1,,,,False
356,Vitamin B12 deficiency anaemia (D51),,0,2,2,,,,,,,False
357,Folate deficiency anaemia (D52),,2,2,4,,,,,,,False
358,Other nutritional anaemias (D53),,0,0,0,,,,,,,False
360,Anaemia due to enzyme disorders (D55),,0,1,1,,,,,,,False
361,Thalassaemia (D56),,2,0,2,,,,,,,False
362,Sickle-cell disorders (D57),,0,1,1,,,,,,,False
363,Other hereditary haemolytic anaemias (D58),,1,2,3,,,,,,,False
364,Acquired haemolytic anaemia (D59),,2,13,15,,,,,126.0,130.0,False
366,Acquired pure red cell aplasia [erythroblastopenia] (D60),,0,1,1,,,,,,,False
367,Other aplastic anaemias (D61),,32,26,58,0.2,0.1,0.2,218.0,67.0,286.0,False
368,Acute posthaemorrhagic anaemia (D62),,0,0,0,,,,,,,False
369,Other anaemias (D64),,53,64,117,0.4,0.3,0.3,90.0,52.0,141.0,False
371,Disseminated intravascular coagulation [defibrination syndrome] (D65),,5,7,12,,,,,48.0,98.0,False
372,Hereditary factor VIII deficiency (D66),,5,0,5,,,,,,,False
373,Hereditary factor IX deficiency (D67),,0,0,0,,,,,,,False
374,Other coagulation defects (D68),,13,18,31,,,0.1,76.0,143.0,219.0,False
375,Purpura and other haemorrhagic conditions (D69),,17,16,33,,,0.1,98.0,,137.0,False
377,Agranulocytosis (D70),,14,13,27,,,0.1,64.0,88.0,151.0,False
378,Functional disorders of polymorphonuclear neutrophils (D71),,1,0,1,,,,,,,False
379,Other disorders of white blood cells (D72),,2,2,4,,,,,,,False
380,Diseases of spleen (D73),,3,9,12,,,,,,107.0,False
381,Methaemoglobinaemia (D74),,0,0,0,,,,,,,False
382,Other diseases of blood and blood-forming organs (D75),,2,6,8,,,,,,,False
383,Other specified diseases with participation of lymphoreticular tissue and reticulohistiocytic tissue (D76),,17,14,31,,,0.1,258.0,622.0,867.0,False
385,Immunodeficiency with predominantly antibody defects (D80),,4,5,9,,,,,,67.0,False
386,Combined immunodeficiencies (D81),,0,0,0,,,,,,,False
387,Immunodeficiency associated with other major defects (D82),,3,1,4,,,,,,,False
388,Common variable immunodeficiency (D83),,2,2,4,,,,,,,False
389,Other immunodeficiencies (D84),,10,14,24,,,0.1,,286.0,349.0,False
390,Sarcoidosis (D86),,17,28,45,,0.2,0.2,206.0,199.0,405.0,False
