cause,avoidable,men,women,people,Males,Females,Persons,Males,Females,Persons
Trichinellosis (B75),,0,0,0,—,—,—,—,—,—
Hookworm diseases (B76),,0,0,0,—,—,—,—,—,—
Ascariasis (B77),,0,0,0,—,—,—,—,—,—
Strongyloidiasis (B78),,0,0,0,—,—,—,—,—,—
Trichuriasis (B79),,0,0,0,—,—,—,—,—,—
Enterobiasis (B80),,0,0,0,—,—,—,—,—,—
"Other intestinal helminthiases, not elsewhere classified (B81)",,0,0,0,—,—,—,—,—,—
Unspecified intestinal parasitism (B82),,0,0,0,—,—,—,—,—,—
Other helminthiases (B83),,1,0,1,np,—,np,np,—,np
"Pediculosis, acariasis and other infestations  (B85-B89)",,0,2,2,—,np,np,—,—,—
Pediculosis and phthiriasis (B85),,0,0,0,—,—,—,—,—,—
Scabies (B86),,0,2,2,—,np,np,—,—,—
Myiasis (B87),,0,0,0,—,—,—,—,—,—
Other infestations (B88),,0,0,0,—,—,—,—,—,—
Unspecified parasitic disease (B89),,0,0,0,—,—,—,—,—,—
Sequelae of infectious and parasitic diseases  (B90-B94),,12,18,30,np,np,0.1,np,38,48
Sequelae of tuberculosis (B90),,2,2,4,np,np,np,np,np,np
Sequelae of poliomyelitis (B91),,8,11,19,np,np,np,np,np,15
Sequelae of leprosy (B92),,0,0,0,—,—,—,—,—,—
Sequelae of other and unspecified infectious and parasitic diseases (B94),,2,5,7,np,np,np,np,np,np
"Bacterial,viral and other infectious agents (B95-B98)",,0,0,0,—,—,—,—,—,—
Streptococcus and staphylococcus as the cause of diseases classified to other chapters (B95),,0,0,0,—,—,—,—,—,—
Other bacterial agents as the cause of diseases classified to other chapters (B96),,0,0,0,—,—,—,—,—,—
Viral agents as the cause of diseases classified to other chapters (B97),,0,0,0,—,—,—,—,—,—
Other specified infectious agents as the cause of diseases classified to other chapters (B98),,0,0,0,—,—,—,—,—,—
Other infectious diseases  (B99),,18,26,44,np,0.1,0.1,35,75,110
Other and unspecified infectious diseases (B99),,18,26,44,np,0.1,0.1,35,75,110
CHAPTER II Neoplasms (C00-D48),,"26,924","20,878","47,802",193.5,127.7,157.2,"176,953","149,675","325,939"
Malignant neoplasms  (C00-C97),,"26,263","20,316","46,579",188.7,124.6,153.3,"174,183","147,820","321,331"
"Malignant neoplasms of lip, oral cavity and pharynx  (C00-C14)",,634,251,885,4.5,1.6,3.0,"5,934","1,831","7,682"
Malignant neoplasm of lip (C00),,2,4,6,np,np,np,—,—,—
Malignant neoplasm of base of tongue (C01),,35,12,47,0.2,np,0.2,328,130,454
Malignant neoplasm of other and unspecified parts of tongue (C02),,107,66,173,0.8,0.4,0.6,963,412,"1,364"
Malignant neoplasm of gum (C03),,11,9,20,np,np,0.1,86,50,136
Malignant neoplasm of floor of mouth (C04),,8,5,13,np,np,np,74,np,127
Malignant neoplasm of palate (C05),,10,10,20,np,np,0.1,161,86,246
Malignant neoplasm of other and unspecified parts of mouth (C06),,42,38,80,0.3,0.2,0.3,401,284,682
Malignant neoplasm of parotid gland (C07),,65,23,88,0.5,0.1,0.3,263,89,348
Malignant neoplasm of other and unspecified major salivary glands (C08),,19,6,25,np,np,0.1,197,np,259
Malignant neoplasm of tonsil (C09),,77,18,95,0.6,np,0.3,985,213,1184
Malignant neoplasm of oropharynx (C10),,90,23,113,0.6,0.1,0.4,1006,155,"1,144"
Malignant neoplasm of nasopharynx (C11),,58,16,74,0.4,np,0.3,793,173,953
Malignant neoplasm of pyriform sinus (C12),,10,1,11,np,np,np,18,—,18
Malignant neoplasm of hypopharynx (C13),,35,11,46,0.2,np,0.2,266,101,362
"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx (C14)",,65,9,74,0.5,np,0.2,393,20,405
Malignant neoplasms of digestive organs  (C15-C26),,"7,896","5,748","13,644",56.5,34.6,44.9,"58,961","35,200","93,684"
Malignant neoplasm of oesophagus (C15),,987,342,"1,329",7.0,2.0,4.4,"7,855","1,434","9,165"
Malignant neoplasm of stomach (C16),,712,426,"1,138",5.1,2.6,3.8,"5,381","3,036","8,371"
Malignant neoplasm of small intestine (C17),,78,54,132,0.6,0.3,0.4,624,320,939
Malignant neoplasm of colon (C18),x,792,720,"1,512",5.7,4.3,4.9,"4,897","4,182","9,057"
Malignant neoplasm of rectosigmoid junction (C19),x,"1,125",940,"2,065",8.1,5.9,6.9,"9,780","7,411","17,144"
Malignant neoplasm of rectum (C20),x,441,272,713,3.2,1.6,2.4,"3,224","1,977","5,181"
Malignant neoplasm of anus and anal canal (C21),x,35,49,84,0.2,0.3,0.3,242,388,633
Malignant neoplasm of liver and intrahepatic bile ducts (C22),,"1,414",690,"2,104",10.0,4.3,7.0,"12,106","4,828","16,785"
Malignant neoplasm of gallbladder (C23),,67,116,183,0.5,0.7,0.6,493,671,"1,167"
Malignant neoplasm of other and unspecified parts of biliary tract (C24),,59,48,107,0.4,0.3,0.3,344,178,518
Malignant neoplasm of pancreas (C25),,"1,596","1,481","3,077",11.4,9.0,10.1,"10,900","8,353","19,204"
Malignant neoplasm of other and ill-defined digestive organs (C26),,590,610,"1,200",4.3,3.4,3.8,"3,116","2,420","5,520"
Malignant neoplasms of respiratory and intrathoracic organs  (C30-C39),,"5,226","3,648","8,874",37.2,22.7,29.3,"35,130","24,551","59,452"
Malignant neoplasm of nasal cavity and middle ear (C30),,2,4,6,np,np,np,np,np,31
Malignant neoplasm of accessory sinuses (C31),,24,12,36,0.2,np,0.1,249,141,390
Malignant neoplasm of larynx (C32),,163,25,188,1.2,0.1,0.6,"1,124",63,"1,164"
Malignant neoplasm of trachea (C33),,3,2,5,np,np,np,—,np,np
Malignant neoplasm of bronchus and lung (C34),,"4,997","3,584","8,581",35.5,22.3,28.4,"33,412","23,881","57,089"
Malignant neoplasm of thymus (C37),,14,12,26,np,np,0.1,159,228,387
"Malignant neoplasm of heart, mediastinum and pleura (C38)",,23,9,32,0.2,np,0.1,185,np,349
Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs (C39),,0,0,0,—,—,—,—,—,—
Malignant neoplasms of bone and articular cartilage  (C40-C41),,57,32,89,0.4,0.2,0.3,"1,421","1,002","2,425"
Malignant neoplasm of bone and articular cartilage of limbs (C40),,7,1,8,np,np,np,np,np,303
Malignant neoplasm of bone and articular cartilage of other and unspecified sites (C41),,50,31,81,0.4,0.2,0.3,"1,166",959,"2,122"
Melanoma and other malignant neoplasms of skin  (C43-C44),x,"1,416",678,"2,094",10.2,4.1,6.9,"9,454","4,565","13,917"
Malignant melanoma of skin (C43),x,965,464,"1,429",7.0,2.9,4.8,"7,425","3,887","11,238"
Other malignant neoplasms of skin (C44),x,451,214,665,3.2,1.2,2.1,"2,029",678,"2,679"
Malignant neoplasms of mesothelial and soft tissue  (C45-C49),,806,380,"1,186",5.8,2.4,4.0,"5,000","3,849","8,808"
Mesothelioma (C45),,598,128,726,4.3,0.8,2.4,"2,284",619,"2,867"
Kaposi sarcoma (C46),,2,0,2,np,—,np,np,—,np
Malignant neoplasm of peripheral nerves and autonomic nervous system (C47),,5,6,11,np,np,np,np,194,307
Malignant neoplasm of retroperitoneum and peritoneum (C48),,11,81,92,np,0.5,0.3,208,452,666
Malignant neoplasm of other connective and soft tissue (C49),,190,165,355,1.4,1.1,1.2,"2,387","2,584","4,962"
Malignant neoplasm of breast  (C50-C50),x,35,"2,999","3,034",0.3,19.1,10.2,256,"30,492","31,240"
Malignant neoplasm of breast (C50),x,35,"2,999","3,034",0.3,19.1,10.2,256,"30,492","31,240"
Malignant neoplasms of female genital organs  (C51-C58),,0,"1,902","1,902",—,11.9,6.3,—,"16,455","16,728"
Malignant neoplasm of vulva (C51),,0,98,98,—,0.6,0.3,—,444,452
Malignant neoplasm of vagina (C52),,0,31,31,—,0.2,0.1,—,225,229
Malignant neoplasm of cervix uteri (C53),x,0,232,232,—,1.6,0.8,—,"4,340","4,393"
Malignant neoplasm of corpus uteri (C54),,0,351,351,—,2.2,1.1,—,"2,184","2,225"
"Malignant neoplasm of uterus, part unspecified (C55)",,0,173,173,—,1.1,0.6,—,"1,350","1,376"
Malignant neoplasm of ovary (C56),,0,968,968,—,6.1,3.2,—,"7,635","7,772"
Malignant neoplasm of other and unspecified female genital organs (C57),,0,49,49,—,0.3,0.2,—,277,281
Malignant neoplasm of placenta (C58),,0,0,0,—,—,—,—,—,—
Malignant neoplasms of male genital organs  (C60-C63),,"3,335",0,"3,335",24.1,—,10.5,"9,099",—,"8,925"
Malignant neoplasm of penis (C60),,32,0,32,0.2,—,0.1,288,—,284
Malignant neoplasm of prostate (C61),x,"3,264",0,"3,264",23.6,—,10.3,"7,686",—,"7,518"
Malignant neoplasm of testis (C62),,34,0,34,0.3,—,0.1,1037,—,1037
Malignant neoplasm of other and unspecified male genital organs (C63),,5,0,5,np,—,np,np,—,np
Malignant neoplasms of urinary tract  (C64-C68),,"1,599",750,"2,349",11.6,4.3,7.6,"8,398","2,732","11,024"
"Malignant neoplasm of kidney, except renal pelvis (C64)",x,579,296,875,4.2,1.8,2.9,"4,268","1,457","5,675"
Malignant neoplasm of renal pelvis (C65),,5,1,6,np,np,np,np,np,np
Malignant neoplasm of ureter (C66),,13,7,20,np,np,0.1,np,np,61
Malignant neoplasm of bladder (C67),,695,320,"1,015",5.0,1.8,3.2,"2,252",765,"2,988"
Malignant neoplasm of other and unspecified urinary organs (C68),,307,126,433,2.2,0.7,1.4,1798,487,"2,259"
"Malignant neoplasms of eye, brain and other parts of central nervous system (C69-C72)",,877,592,"1,469",6.5,4.0,5.2,"13,863","9,307","23,100"
Malignant neoplasm of eye and adnexa (C69),,21,16,37,0.1,np,0.1,196,115,310
Malignant neoplasm of meninges (C70),,4,8,12,np,np,np,np,151,189
Malignant neoplasm of brain (C71),,845,565,"1,410",6.2,3.8,5.0,"13,403","8,993","22,325"
"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system (C72)",,7,3,10,np,np,np,224,np,276
Malignant neoplasms of thyroid and other endocrine glands  (C73-C75),,100,108,208,0.7,0.7,0.7,"1,430","1,172","2,594"
Malignant neoplasm of thyroid gland (C73),x,67,82,149,0.5,0.5,0.5,553,403,953
Malignant neoplasm of adrenal gland (C74),,27,22,49,0.2,0.2,0.2,857,723,"1,574"
Malignant neoplasm of other endocrine glands and related structures (C75),,6,4,10,np,np,np,np,np,67
"Malignant neoplasms of ill-defined, secondary and unspecified sites (C76-C80)",,"1,577","1,321","2,898",11.4,7.6,9.3,"9,165","6,422","15,534"
Malignant neoplasm of other and ill-defined sites (C76),,64,100,164,0.5,0.5,0.5,493,242,734
Secondary and unspecified malignant neoplasm of lymph nodes (C77),,0,0,0,—,—,—,—,—,—
Secondary malignant neoplasm of respiratory and digestive organs (C78),,0,0,0,—,—,—,—,—,—
Secondary malignant neoplasm of other and unspecified sites (C79),,0,0,0,—,—,—,—,—,—
"Malignant neoplasm, without specification of site (C80)",,"1,513","1,221","2,734",10.9,7.1,8.8,"8,673","6,180","14,800"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue (C81-C96)",,"2,705","1,907","4,612",19.6,11.4,15.1,"16,073","10,243","26,218"
Hodgkin lymphoma (C81),x,39,29,68,0.3,0.2,0.2,402,137,538
Follicular lymphoma (C82),,37,32,69,0.3,0.2,0.2,270,149,418
Non-follicular lymphoma (C83),,332,188,520,2.4,1.1,1.7,"2,002",1084,"3,072"
Mature T/NK-cell lymphomas (C84),,93,60,153,0.7,0.4,0.5,801,467,"1,262"
Other and unspecified types of non-Hodgkin lymphoma (C85),,441,389,830,3.2,2.2,2.6,"1,943","1,206","3,133"
Other specified types of T/NK-cell lymphoma (C86),,7,6,13,np,np,np,np,71,111
Malignant immunoproliferative diseases (C88),,24,20,44,0.2,0.1,0.1,115,18,131
Multiple myeloma and malignant plasma cell neoplasms (C90),,558,447,"1,005",4.0,2.7,3.3,"2,760","1,957","4,701"
Lymphoid leukaemia (C91),x,264,168,432,1.9,1.0,1.4,"2,036","1,311","3,338"
Myeloid leukaemia (C92),,719,458,"1,177",5.2,2.8,3.9,"4,762","3,394","8,131"
Monocytic leukaemia (C93),,87,51,138,0.6,0.3,0.4,293,86,376
Other leukaemias of specified cell type (C94),,2,1,3,np,np,np,np,np,np
Leukaemia of unspecified cell type (C95),,86,51,137,0.6,0.3,0.4,488,265,750
"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue (C96)",,16,7,23,np,np,0.1,110,np,189
Malignant neoplasms of independent (primary) multiple sites  (C97-C97),,0,0,0,—,—,—,—,—,—
Malignant neoplasms of independent (primary) multiple sites (C97),,0,0,0,—,—,—,—,—,—
Other Neoplasms (D00-D48),,661,562,"1,223",4.8,3.1,3.9,"2,770","1,855","4,608"
In situ neoplasms (D00-D09),,0,0,0,—,—,—,—,—,—
"Carcinoma in situ of oral cavity, oesophagus and stomach (D00)",,0,0,0,—,—,—,—,—,—
Carcinoma in situ of other and unspecified digestive organs (D01),,0,0,0,—,—,—,—,—,—
Carcinoma in situ of middle ear and respiratory system (D02),,0,0,0,—,—,—,—,—,—
Melanoma in situ (D03),,0,0,0,—,—,—,—,—,—
Carcinoma in situ of skin (D04),,0,0,0,—,—,—,—,—,—
Carcinoma in situ of breast (D05),,0,0,0,—,—,—,—,—,—
Carcinoma in situ of cervix uteri (D06),,0,0,0,—,—,—,—,—,—
Carcinoma in situ of other and unspecified genital organs (D07),,0,0,0,—,—,—,—,—,—
Carcinoma in situ of other and unspecified sites (D09),,0,0,0,—,—,—,—,—,—
Benign neoplasms (D10-D36),,51,88,139,0.4,0.5,0.5,391,423,815
Benign neoplasm of mouth and pharynx (D10),,1,0,1,np,—,np,—,—,—
Benign neoplasm of major salivary glands (D11),,0,0,0,—,—,—,—,—,—
"Benign neoplasm of colon, rectum, anus and anal canal (D12)",,2,1,3,np,np,np,np,np,np
Benign neoplasm of other and ill-defined parts of digestive system (D13),,2,2,4,np,np,np,—,np,np
Benign neoplasm of middle ear and respiratory system (D14),,0,0,0,—,—,—,—,—,—
Benign neoplasm of other and unspecified intrathoracic organs (D15),,4,4,8,np,np,np,np,np,126
Benign neoplasm of bone and articular cartilage (D16),,0,1,1,—,np,np,—,np,np
Benign lipomatous neoplasm (D17),,0,1,1,—,np,np,—,np,np
"Haemangioma and lymphangioma, any site (D18)",,4,6,10,np,np,np,np,np,108
Benign neoplasm of mesothelial tissue (D19),,0,0,0,—,—,—,—,—,—
Benign neoplasm of soft tissue of retroperitoneum and peritoneum (D20),,0,0,0,—,—,—,—,—,—
Other benign neoplasms of connective and other soft tissue (D21),,0,0,0,—,—,—,—,—,—
Melanocytic naevi (D22),,0,0,0,—,—,—,—,—,—
Other benign neoplasms of skin (D23),,0,1,1,—,np,np,—,—,—
Benign neoplasm of breast (D24),,0,0,0,—,—,—,—,—,—
Leiomyoma of uterus (D25),,0,1,1,—,np,np,—,np,np
Other benign neoplasms of uterus (D26),,0,0,0,—,—,—,—,—,—
Benign neoplasm of ovary (D27),,0,0,0,—,—,—,—,—,—
Benign neoplasm of other and unspecified female genital organs (D28),,0,0,0,—,—,—,—,—,—
Benign neoplasm of male genital organs (D29),,0,0,0,—,—,—,—,—,—
Benign neoplasm of urinary organs (D30),,1,0,1,np,—,np,—,—,—
Benign neoplasm of eye and adnexa (D31),,0,0,0,—,—,—,—,—,—
Benign neoplasm of meninges (D32),,25,64,89,0.2,0.4,0.3,140,187,329
Benign neoplasm of brain and other parts of central nervous system (D33),,3,2,5,np,np,np,np,np,np
Benign neoplasm of thyroid gland (D34),,0,0,0,—,—,—,—,—,—
Benign neoplasm of other and unspecified endocrine glands (D35),,9,4,13,np,np,np,43,np,68
